diseaseId	diseaseName	diseaseType	diseaseClass	diseaseSemanticType	NofSNPs	NofPmids
C0009402	Colorectal Carcinoma	disease	C06;C04	Neoplastic Process	1962	1463
C0009404	Colorectal Neoplasms	group	C06;C04	Neoplastic Process	609	170
C0009405	Hereditary Nonpolyposis Colorectal Neoplasms	group	C16;C06;C04;C18	Neoplastic Process	875	505
C0009421	Comatose	phenotype	C23;C10	Disease or Syndrome	1	1
C0009447	Common Variable Immunodeficiency	disease	C20	Disease or Syndrome	85	20
C0009451	Communicating Hydrocephalus	disease	C10	Disease or Syndrome	1	1
C0009460	Communication impairment	phenotype	C23;C10;F03	Mental or Behavioral Dysfunction	1	1
C0009595	Obsessive-Compulsive Personality	disease	F03	Mental or Behavioral Dysfunction	2	2
C0009676	Confusion	phenotype	C23;C10;F01	Mental or Behavioral Dysfunction	5	0
C0009681	Anomalous pulmonary artery	disease	C16;C08	Congenital Abnormality	1	0
C0009691	Congenital cataract	disease	C23;C16;C13;C11;C10	Congenital Abnormality	104	40
C0009714	Hepatic Fibrosis, Congenital	disease	C23;C16;C06	Disease or Syndrome	2	5
C0009763	Conjunctivitis	disease	C11	Disease or Syndrome	1	1
C0009766	Allergic Conjunctivitis	disease	C11;C20	Disease or Syndrome	2	2
C0009777	Conn Adenoma	disease	C04;C19	Neoplastic Process	5	7
C0009782	Connective Tissue Diseases	group	C17	Disease or Syndrome	24	12
C0009806	Constipation	phenotype	C23	Sign or Symptom	57	26
C0009812	Constitutional Symptom	phenotype		Sign or Symptom	1	3
C0009917	Contracture	disease	C05	Anatomical Abnormality	12	11
C0009928	Contrast Sensitivity	phenotype		Mental Process	34	1
C0009946	Conversion disorder	group	F03	Mental or Behavioral Dysfunction	1	1
C0009952	Febrile Convulsions	disease	C23;C10	Disease or Syndrome	65	33
C0010036	Corneal dystrophy	disease	C16;C11	Disease or Syndrome	25	39
C0010038	Corneal Opacity	phenotype	C11	Finding	5	1
C0010043	Corneal Ulcer	disease	C01;C11	Disease or Syndrome	1	1
C0010051	Coronary Aneurysm	disease	C14	Disease or Syndrome	17	10
C0010054	Coronary Arteriosclerosis	disease	C14	Disease or Syndrome	440	593
C0010068	Coronary heart disease	disease	C14	Disease or Syndrome	1178	948
C0010072	Coronary Thrombosis	disease	C14	Disease or Syndrome	2	2
C0010073	Coronary Artery Vasospasm	disease	C14	Disease or Syndrome	9	11
C0010200	Coughing	phenotype	C23;C08	Sign or Symptom	16	5
C0010201	Chronic cough	phenotype	C23;C08	Sign or Symptom	1	0
C0010246	Coxsackievirus Infections	group	C01	Disease or Syndrome	1	1
C0010273	Craniofacial Dysostosis	disease	C16;C05	Disease or Syndrome	29	19
C0010276	Craniopharyngioma	disease	C04	Neoplastic Process	7	7
C0010278	Craniosynostosis	disease	C16;C05	Disease or Syndrome	90	96
C0010308	Congenital Hypothyroidism	disease	C16;C05;C19	Disease or Syndrome	48	50
C0010324	Crigler Najjar syndrome, type 1	disease	C16;C18	Disease or Syndrome	38	17
C0010346	Crohn Disease	disease	C06	Disease or Syndrome	1147	550
C0010403	Cryoglobulinemia	disease	C20;C15;C14	Disease or Syndrome	7	3
C0010414	Infection by Cryptococcus neoformans	disease	C01	Disease or Syndrome	1	1
C0010417	Cryptorchidism	disease	C16;C12;C19	Congenital Abnormality	80	38
C0010481	Cushing Syndrome	disease	C19	Disease or Syndrome	9	10
C0010495	Cutis Laxa	disease	C16;C17	Disease or Syndrome	21	18
C0010520	Cyanosis	phenotype	C23	Sign or Symptom	2	1
C0010606	Adenoid Cystic Carcinoma	disease	C04	Neoplastic Process	30	3
C0010633	Cystadenoma	disease	C04	Neoplastic Process	1	1
C0010674	Cystic Fibrosis	disease	C16;C06;C08	Disease or Syndrome	704	795
C0010678	Cysticercosis	disease	C01	Disease or Syndrome	2	1
C0010691	Cystinuria	disease	C16;C13;C12	Disease or Syndrome	83	50
C0010701	Phyllodes Tumor	disease	C04	Neoplastic Process	1	1
C0010709	Cyst	disease	C23;C04	Disease or Syndrome	6	5
C0010823	Cytomegalovirus Infections	group	C01	Disease or Syndrome	26	22
C0010964	Dandy-Walker Syndrome	disease	C16;C10	Disease or Syndrome	9	1
C0011052	Prelingual Deafness	disease	C23;C10;C09	Disease or Syndrome	2	2
C0011053	Deafness	phenotype	C23;C10;C09	Finding	37	0
C0011071	Sudden death	phenotype	C23	Pathologic Function	3	1
C0011127	Pressure Ulcer	disease	C17	Disease or Syndrome	1	1
C0011168	Deglutition Disorders	group	C06;C09	Disease or Syndrome	50	15
C0011175	Dehydration	phenotype	C23;C18	Disease or Syndrome	6	4
C0011195	Dejerine-Sottas Disease (disorder)	disease	C16;C10	Disease or Syndrome	45	50
C0011206	Delirium	disease	C23;C10;F03;F01	Mental or Behavioral Dysfunction	7	4
C0011226	Hepatitis D Infection	disease	C06;C01	Disease or Syndrome	4	6
C0011251	Delusional disorder	group	F03	Mental or Behavioral Dysfunction	1	1
C0011253	Delusions	disease	F01	Mental or Behavioral Dysfunction	15	16
C0011265	Presenile dementia	disease	C10;F03	Mental or Behavioral Dysfunction	159	159
C0011269	Dementia, Vascular	disease	C10;F03;C14	Disease or Syndrome	32	23
C0011303	Demyelinating Diseases	group	C10	Disease or Syndrome	5	4
C0011311	Dengue Fever	disease	C01	Disease or Syndrome	39	26
C0011320	Dens in Dente	disease	C16;C07	Congenital Abnormality	2	2
C0011334	Dental caries	disease	C07	Disease or Syndrome	126	39
C0011351	Dental Enamel Hypoplasia	disease	C16;C07	Disease or Syndrome	1	1
C0011436	Dentinogenesis Imperfecta	disease	C16;C07	Congenital Abnormality	7	5
C0011570	Mental Depression	disease	F01	Mental or Behavioral Dysfunction	271	350
C0011581	Depressive disorder	disease	F03	Mental or Behavioral Dysfunction	297	370
C0011603	Dermatitis	disease	C17	Disease or Syndrome	16	12
C0011606	Exfoliative dermatitis	disease	C17	Disease or Syndrome	2	0
C0011615	Dermatitis, Atopic	disease	C16;C17;C20	Disease or Syndrome	232	125
C0011616	Contact Dermatitis	disease	C17	Disease or Syndrome	3	1
C0011633	Dermatomyositis	disease	C17;C05;C10	Disease or Syndrome	34	12
C0011636	Dermatophytosis	disease	C01;C17	Disease or Syndrome	3	2
C0011644	Scleroderma	disease	C17	Disease or Syndrome	5	5
C0011813	Dextrocardia	disease	C16;C14	Congenital Abnormality	6	1
C0011847	Diabetes	disease	C19	Disease or Syndrome	710	646
C0011848	Diabetes Insipidus	disease	C13;C12;C19	Disease or Syndrome	3	0
C0011849	Diabetes Mellitus	group	C18;C19	Disease or Syndrome	824	759
C0011854	Diabetes Mellitus, Insulin-Dependent	disease	C18;C20;C19	Disease or Syndrome	954	453
C0011860	Diabetes Mellitus, Non-Insulin-Dependent	disease	C18;C19	Disease or Syndrome	2672	2111
C0011875	Diabetic Angiopathies	disease	C19;C14	Disease or Syndrome	7	2
C0011880	Diabetic Ketoacidosis	disease	C18;C19	Disease or Syndrome	3	3
C0011881	Diabetic Nephropathy	disease	C13;C12;C19	Disease or Syndrome	238	227
C0011882	Diabetic Neuropathies	group	C10;C19	Disease or Syndrome	12	9
C0011884	Diabetic Retinopathy	disease	C11;C19;C14	Disease or Syndrome	213	148
C0011904	Diagnostic Techniques, Cardiovascular	phenotype		Diagnostic Procedure	6	3
C0011981	Diaphragmatic Eventration	disease	C16;C06	Congenital Abnormality	6	1
C0011989	Camurati-Engelmann Syndrome	disease	C16;C05	Disease or Syndrome	10	9
C0011991	Diarrhea	phenotype	C23	Sign or Symptom	63	39
C0012236	DiGeorge Syndrome	disease	C16;C05;C19;C15;C14	Disease or Syndrome	7	6
C0012241	Congenital anomaly of gastrointestinal tract	group	C16;C06;C13	Congenital Abnormality	2	0
C0012242	Digestive System Disorders	group	C06	Disease or Syndrome	13	4
C0012243	Digestive System Neoplasms	group	C06;C04	Neoplastic Process	2	1
C0012569	Diplopia	phenotype	C23;C11;C10	Finding	5	1
C0012619	disc disorder	disease	C23;C05	Disease or Syndrome	1	1
C0012715	Iron Metabolism Disorders	group	C18	Disease or Syndrome	3	5
C0012734	Disruptive Behavior Disorder	disease	F03	Mental or Behavioral Dysfunction	1	1
C0012736	Dissecting aortic aneurysm	disease	C14	Disease or Syndrome	6	2
C0012739	Disseminated Intravascular Coagulation	disease	C15	Disease or Syndrome	3	2
C0012746	Dissociative disorder	group	F03	Mental or Behavioral Dysfunction	1	1
C0012813	Diverticulitis	disease	C06	Disease or Syndrome	13	3
C0012819	Diverticular disease of colon	disease	C06	Disease or Syndrome	2	1
C0012833	Dizziness	phenotype	C23	Sign or Symptom	14	7
C0013069	Double Outlet Right Ventricle	disease	C16;C14	Congenital Abnormality	16	8
C0013080	Down Syndrome	disease	C16;C10	Disease or Syndrome	80	78
C0013124	Drinking behavior processes	disease	F01	Individual Behavior	31	2
C0013132	Drooling	phenotype	C07	Finding	14	0
C0013144	Drowsiness	phenotype	F03	Finding	3	1
C0013146	Drug abuse	group	C25;F03	Mental or Behavioral Dysfunction	39	41
C0013170	Drug habituation	phenotype	C25;F03	Mental or Behavioral Dysfunction	19	10
C0013238	Dry Eye Syndromes	disease	C11	Disease or Syndrome	1	1
C0013261	Duane Retraction Syndrome	disease	C16;C11;C10	Disease or Syndrome	2	1
C0013264	Muscular Dystrophy, Duchenne	disease	C16;C05;C10	Disease or Syndrome	170	53
C0013274	Patent ductus arteriosus	disease	C16;C14	Congenital Abnormality	56	28
C0013289	Duodenal Diseases	group	C06	Disease or Syndrome	2	1
C0013295	Duodenal Ulcer	disease	C06	Disease or Syndrome	33	10
C0013312	Dupuytren Contracture	disease	C04;C17;C05	Disease or Syndrome	33	2
C0013336	Dwarfism	disease	C16;C05;C19	Congenital Abnormality	77	59
C0013338	Pituitary dwarfism	disease	C05;C10;C19	Disease or Syndrome	12	12
C0013362	Dysarthria	disease	C23;C10	Mental or Behavioral Dysfunction	54	18
C0013363	Dysautonomia	disease	C10	Disease or Syndrome	18	10
C0013364	Dysautonomia, Familial	disease	C16;C10	Disease or Syndrome; Congenital Abnormality	46	9
C0013370	Amebic colitis	disease	C06;C01	Disease or Syndrome	1	1
C0013377	Dysgerminoma	disease	C04	Neoplastic Process	3	3
C0013384	Dyskinetic syndrome	disease	C23;C10	Disease or Syndrome	42	30
C0013390	Dysmenorrhea	phenotype	C23	Disease or Syndrome	4	3
C0013393	Dysostoses	disease	C05	Disease or Syndrome	1	1
C0013395	Dyspepsia	phenotype	C23	Sign or Symptom	5	5
C0013404	Dyspnea	phenotype	C23;C08	Sign or Symptom	26	6
C0013415	Dysthymic Disorder	disease	F03	Mental or Behavioral Dysfunction	2	1
C0013421	Dystonia	phenotype	C23;C10	Sign or Symptom	97	65
C0013423	Dystonia Musculorum Deformans	disease	C16;C10	Disease or Syndrome	1	0
C0013428	Dysuria	phenotype	C23	Sign or Symptom	3	0
C0013447	Ear Diseases	group	C09	Disease or Syndrome	1	1
C0013473	Eating Disorders	group	F03	Mental or Behavioral Dysfunction	42	30
C0013481	Ebstein Anomaly	disease	C16;C14	Congenital Abnormality	3	2
C0013491	Ecchymosis	phenotype	C23;C15	Pathologic Function	2	0
C0013502	Echinococcosis	disease	C01	Disease or Syndrome	1	1
C0013504	Echinococcosis, Hepatic	disease	C06;C01	Disease or Syndrome	1	1
C0013505	Echinococcosis, Pulmonary	disease	C01;C08	Disease or Syndrome	1	1
C0013528	Echolalia	phenotype	C23;C10	Mental or Behavioral Dysfunction	4	1
C0013537	Eclampsia	disease	C13	Disease or Syndrome	38	40
C0013575	Ectodermal Dysplasia	disease	C16;C17	Disease or Syndrome	16	10
C0013581	Ectopia Lentis	disease	C16;C11	Congenital Abnormality	17	13
C0013592	Ectropion	disease	C11	Disease or Syndrome	3	1
C0013595	Eczema	disease	C17	Disease or Syndrome	368	137
C0013604	Edema	phenotype	C23	Pathologic Function	1	0
C0013720	Ehlers-Danlos Syndrome	disease	C16;C17;C15;C14	Disease or Syndrome	14	12
C0013882	Elephantiasis	disease	C15	Disease or Syndrome	6	1
C0013884	Filarial Elephantiases	disease	C01;C15	Disease or Syndrome	10	3
C0013902	Elliptocytosis, Hereditary	disease	C16;C15	Disease or Syndrome	1	0
C0013903	Ellis-Van Creveld Syndrome	disease	C16;C17;C05	Disease or Syndrome	121	25
C0013990	Pathological accumulation of air in tissues	phenotype	C23	Pathologic Function	6	2
C0014038	Encephalitis	disease	C10	Disease or Syndrome	18	10
C0014057	Japanese Encephalitis	disease	C01;C10	Disease or Syndrome	6	3
C0014060	Encephalitis, St. Louis	disease	C01;C10	Disease or Syndrome	34	23
C0014061	Tick-Borne Encephalitis	disease	C01;C10	Disease or Syndrome	9	7
C0014065	Congenital cerebral hernia	disease	C23;C16;C10	Congenital Abnormality	6	4
C0014067	Occipital Encephalocele	disease	C23;C16;C10	Congenital Abnormality	9	1
C0014070	Encephalomyelitis	disease	C01;C10	Disease or Syndrome	7	4
C0014084	Enchondromatosis	disease	C05	Disease or Syndrome	2	2
C0014116	Endocardial Cushion Defects	group	C16;C14	Congenital Abnormality	4	21
C0014117	Endocardial Fibroelastosis	disease	C14	Disease or Syndrome	2	1
C0014121	Bacterial Endocarditis	disease	C01;C14	Disease or Syndrome	9	4
C0014122	Subacute Bacterial Endocarditis	disease	C01;C14	Disease or Syndrome	1	2
C0014145	Yolk Sac Tumor	disease	C04	Neoplastic Process	2	1
C0014170	Endometrial Neoplasms	group	C04;C13	Neoplastic Process	32	7
C0014173	Endometrial Hyperplasia	disease	C13	Disease or Syndrome	6	1
C0014175	Endometriosis	disease	C13	Disease or Syndrome	274	150
C0014179	Endometritis	disease	C13	Disease or Syndrome	2	1
C0014335	Enteritis	disease	C06	Disease or Syndrome	2	2
C0014356	Enterocolitis	disease	C06	Disease or Syndrome	2	1
C0014378	Enterovirus Infections	group	C01	Disease or Syndrome	12	7
C0014390	Entropion	disease	C11	Disease or Syndrome	1	1
C0014394	Enuresis	phenotype	C13;C12;F03;F01	Disease or Syndrome	3	0
C0014457	Eosinophilia	disease	C15	Disease or Syndrome	23	12
C0014474	Ependymoma	disease	C04	Neoplastic Process	8	4
C0014518	Toxic Epidermal Necrolysis	disease	C17;C20;C25;C07	Disease or Syndrome	29	18
C0014522	Epidermodysplasia Verruciformis	disease	C01;C17	Neoplastic Process	9	5
C0014527	Epidermolysis Bullosa	disease	C16;C17	Congenital Abnormality	3	2
C0014541	Epiglottitis	disease	C01;C08	Disease or Syndrome	1	1
C0014544	Epilepsy	disease	C10	Disease or Syndrome	339	247
C0014547	Epilepsies, Partial	disease	C10	Disease or Syndrome	23	11
C0014548	Epilepsy, Generalized	disease	C10	Disease or Syndrome	36	24
C0014549	Tonic-Clonic Epilepsy	disease	C10	Disease or Syndrome	1	0
C0014550	Myoclonic Epilepsy	disease	C10	Disease or Syndrome	9	7
C0014553	Absence Epilepsy	disease	C10	Disease or Syndrome	17	17
C0014556	Epilepsy, Temporal Lobe	disease	C10	Disease or Syndrome	33	37
C0014571	Epiphyses, Slipped	disease	C05	Disease or Syndrome	1	1
C0014591	Epistaxis	phenotype	C23;C08;C09	Pathologic Function	4	0
C0014733	Erysipelas	disease	C01;C17	Disease or Syndrome	2	2
C0014742	Erythema Multiforme	disease	C17	Disease or Syndrome	2	1
C0014743	Erythema Nodosum	disease	C17;C20;C25	Disease or Syndrome	3	3
C0014761	Erythroblastosis, Fetal	disease	C16;C13;C20;C15	Disease or Syndrome	1	0
C0014772	Red Blood Cell Count measurement	phenotype		Laboratory Procedure	1599	17
C0014800	Erythroid hyperplasia	disease	C23	Disease or Syndrome	3	2
C0014804	Erythromelalgia	disease	C14	Disease or Syndrome	5	4
C0014805	Primary Erythermalgia	disease	C14	Disease or Syndrome	14	16
C0014848	Esophageal Achalasia	disease	C06	Disease or Syndrome	5	5
C0014850	Esophageal Atresia	disease	C16;C06	Congenital Abnormality	6	3
C0014852	Esophageal Diseases	group	C06	Disease or Syndrome	1	1
C0014859	Esophageal Neoplasms	group	C06;C04	Neoplastic Process	270	155
C0014866	Esophageal Stenosis	disease	C06	Disease or Syndrome	2	1
C0014867	Esophageal Varices	disease	C06	Disease or Syndrome	5	3
C0014868	Esophagitis	disease	C06	Disease or Syndrome	7	3
C0014869	Peptic Esophagitis	disease	C06	Disease or Syndrome	3	3
C0014877	Esotropia	disease	C11;C10	Disease or Syndrome	39	8
C0015190	Euthyroid Sick Syndromes	disease	C19	Disease or Syndrome	1	0
C0015230	Exanthema	phenotype	C17	Sign or Symptom	14	8
C0015260	Exercise stress test	phenotype		Diagnostic Procedure	1	1
C0015300	Exophthalmos	disease	C11	Disease or Syndrome	12	2
C0015306	Hereditary Multiple Exostoses	disease	C16;C04;C05	Congenital Abnormality	51	39
C0015310	Exotropia	disease	C11;C10	Disease or Syndrome	23	4
C0015371	Extrapyramidal Disorders	group	C10	Disease or Syndrome	1	1
C0015382	Extraversion (Psychology)	phenotype	F01	Mental Process	4	1
C0015393	Eye Abnormalities	group	C16;C11	Congenital Abnormality	3	3
C0015396	Eye Color	phenotype		Organism Attribute	31	10
C0015397	Disorder of eye	group	C11	Disease or Syndrome	14	12
C0015411	Eye Manifestations	phenotype	C23;C11	Sign or Symptom	2	2
C0015458	Facial Hemiatrophy	disease	C10;C07	Disease or Syndrome	4	3
C0015469	Facial paralysis	disease	C23;C10;C07	Disease or Syndrome	3	3
C0015499	Hereditary Factor V Deficiency	disease	C16;C15	Disease or Syndrome	7	12
C0015503	Factor VII Deficiency	disease	C16;C15	Disease or Syndrome	73	41
C0015519	Factor X Deficiency	disease	C16;C15	Disease or Syndrome	27	24
C0015523	Hereditary Factor XI Deficiency	disease	C16;C15	Disease or Syndrome	119	73
C0015526	Factor XII Deficiency	disease	C16;C15	Disease or Syndrome	13	4
C0015530	Hereditary Factor XIII Deficiency	disease	C16;C15	Disease or Syndrome	4	2
C0015544	Failure to Thrive	disease	C23	Disease or Syndrome	10	7
C0015624	Fanconi Syndrome	disease	C16;C13;C12	Disease or Syndrome	4	5
C0015625	Fanconi Anemia	disease	C16;C18;C15	Disease or Syndrome	173	116
C0015644	Muscular fasciculation	phenotype	C23;C10	Sign or Symptom	2	1
C0015672	Fatigue	phenotype	C23	Sign or Symptom	67	32
C0015674	Chronic Fatigue Syndrome	disease	C01;C05;C10	Disease or Syndrome	14	8
C0015695	Fatty Liver	disease	C06	Disease or Syndrome	35	73
C0015696	Fatty Liver, Alcoholic	disease	C06;C25	Disease or Syndrome	6	3
C0015702	Favism	disease	C16;C25;C15	Disease or Syndrome	14	3
C0015732	Fecal Incontinence	disease	C06	Disease or Syndrome	12	2
C0015745	Feeding behaviors	phenotype	F01	Organism Function	7	2
C0015923	Fetal Alcohol Syndrome	disease	C16;C13;C25	Disease or Syndrome	8	3
C0015930	Fetal Distress	disease	C23	Pathologic Function	1	0
C0015934	Fetal Growth Retardation	phenotype	C23;C16;C13	Disease or Syndrome	21	21
C0015944	Fetal Membranes, Premature Rupture	phenotype	C13	Pathologic Function	21	4
C0015967	Fever	phenotype	C23	Sign or Symptom	66	43
C0015974	Periodic fever	disease		Disease or Syndrome	5	6
C0016034	Breast Fibrocystic Disease	disease	C17	Disease or Syndrome	12	5
C0016037	Fibrodysplasia Ossificans Progressiva	disease	C05	Disease or Syndrome	17	49
C0016045	fibroma	disease	C04	Neoplastic Process	4	3
C0016048	Fibromatosis	disease	C04	Neoplastic Process	5	3
C0016049	Fibromatosis, Gingival	disease	C16;C07	Anatomical Abnormality	1	0
C0016052	Fibromuscular Dysplasia	disease	C14	Disease or Syndrome	3	2
C0016053	Fibromyalgia	disease	C05;C10	Disease or Syndrome	38	35
C0016057	Fibrosarcoma	disease	C04	Neoplastic Process	9	7
C0016065	Polyostotic fibrous dysplasia	disease	C05	Congenital Abnormality	2	2
C0016169	pathologic fistula	phenotype	C23	Anatomical Abnormality	8	6
C0016202	Flatfoot	phenotype	C16;C05	Anatomical Abnormality	38	4
C0016242	Vitreous floaters	phenotype		Finding	1	0
C0016382	Flushing	phenotype	C23	Sign or Symptom	9	11
C0016395	Focal Dermal Hypoplasia	disease	C16;C17;C05	Disease or Syndrome	9	9
C0016412	Folic Acid Deficiency	disease	C18	Disease or Syndrome	8	20
C0016506	Foot Deformities	group	C05	Anatomical Abnormality	5	0
C0016508	Congenital Foot Deformity	disease	C16;C05	Congenital Abnormality	1	1
C0016522	Foramen Ovale, Patent	disease	C16;C14	Congenital Abnormality	14	9
C0016529	Forced expiratory volume function	phenotype		Organ or Tissue Function	1169	18
C0016663	Pathological fracture	phenotype	C26	Pathologic Function	2	0
C0016667	Fragile X Syndrome	disease	C16;C10	Disease or Syndrome	11	18
C0016689	Freckles	phenotype	C17	Finding	10	2
C0016719	Friedreich Ataxia	disease	C16;C18;C10	Disease or Syndrome	11	6
C0016751	Hereditary fructose intolerance syndrome	disease	C16;C18	Disease or Syndrome	47	51
C0016756	Fructose-1,6-Diphosphatase Deficiency	disease	C16;C18	Disease or Syndrome	18	8
C0016781	Fuchs Endothelial Dystrophy	disease	C16;C11	Disease or Syndrome	32	30
C0016782	Fuchs' heterochromic cyclitis	disease	C11	Disease or Syndrome	3	1
C0016788	Fucosidase Deficiency Disease	disease	C16;C18;C10	Disease or Syndrome	14	9
C0016842	Congenital pectus excavatum	disease	C16;C05	Congenital Abnormality	36	5
C0016873	Fused Teeth	disease	C16;C07	Congenital Abnormality	1	0
C0016952	Galactosemias	disease	C16;C18;C10	Disease or Syndrome	16	27
